"text","text_part","chapter_n","author"
"Алино же четвертое, о том, что она ничего не хочет.","содержание письма",15,"Аля"
"Милый, сижу на твоем нелюбимом диване и чувствую, что очень хорошо, когда тепло, удобно и ничего не болит. 
У всех вещей сдержанно-молчаливый вид хорошо воспитанных людей. 
Цветы же прямо говорят: мы знаем, но не скажем, — а что они знают — неизвестно! 
Куча книг, которые я могу читать и не читаю, телефон, в который я могу говорить и не говорю, рояль, на котором я могу играть и не играю, люди, с которыми я могу встречаться и не встречаюсь, и ты, которого я должна была бы любить и не люблю. 
А без книг, без цветов, без рояля, без тебя, родной и милый, как бы я плакала. 
Свернулась я сейчас калачиком и, как истая женщина Востока, созерцаю: 
Слежу за глупым повторяющимся узором печки, нелепо подражаю чайнику — одну руку в бок, другую выгибаю, как носик, — и радуюсь, что так похоже, щурю глаза на отчего-то дрожащий куст белой азалии. 
Ни о чем не мечтаю, не думаю. 
Милый, я тебя не обижаю, пожалуйста, не думай, что я тебя обижаю. Я чувствую, что начинаю казаться тебе самоуверенной; нет, я знаю, что я никуда не гожусь, не стоит на этом настаивать. 
Покупки лежат нераспакованные на столе. Еще очень недавно я пришла бы домой и разделась бы, чтобы померить новую ночную рубашку, а сейчас она лежит завернутой в бумагу. 
Аля","текст письма",15,"Аля"
"ПИСЬМО ШЕСТНАДЦАТОЕ","номер письма",16,"Виктор"
"В нем развивается замечание Али о трансатлантических пароходах, говорится о танцах на палубе, автомобилях, Борисе Пастернаке, московском Доме печати и о нашей судьбе.","содержание письма",16,"Виктор"
"Ты мне хорошо рассказывала про трансатлантический пароход. Ведь я для твоих слов — копилка. Ты рассказывала, что на таком пароходе все время чувствуешь, как он тянет. Не движение само, а именно тягу, ход и потенцию хода. Для автомобилиста это понятно. Автомобили тянут все по-разному. Хорошая машина очень приятно упирает в твою спину, как бы ладонью, толкает тебя. Главная прелесть хорошей машины — характер ее тяги, характер нарастания силы. Ощущение, похожее на нарастание голоса. Очень приятно нарастает голос-тяга «фиата». Нажимаешь педаль газа, а машина в восторге несет тебя. Бывают машины, берущие сильно, но жестко, особенно помню одну такую: шестидесятисильный «митчель». Все ощущения на автомобиле другие: чувствуешь тягу и покой или тягу и тоску. Но все на основе ощущения упирающегося в тебя движения. 
Трансатлантический пароход я не видел. Но люблю его и понимаю. Должно быть, очень хорошо танцевать на полу, который идет, целоваться и думать, когда мысли немножко отстают от движения, как сердце при опускании лифта. 
Это похоже на мысли под музыку, но лучше. Похоже на разговор Долохова («Война и мир») под пение «Ах, вы сени, мои сени!» — когда он не смог поссориться с товарищем. 
Рождается новый мир, новые ощущения, еще не все их замечают. Нашу землю тянет куда-то на буксире. Твоя сестра сидела как-то и Доме печати в Москве. Было, вероятно, холодно, много газетного народа. Она же сидела с Пастернаком, Борисом. Он говорил как обыкновенно, слова бросал кучной толпой то в одну, то в другую сторону, и самое главное не было сказано. Самое главное слово. 
А сам Пастернак был таким хорошим, что я его сейчас опишу. У него голова в форме яйцеобразного камня, плотная, крепкая, грудь широкая, глаза карие. Марина Цветаева говорит, что Пастернак похож одновременно на араба и на его лошадь. Пастернак всегда куда-то рвется, но не истерически, а тянет, как сильная и горячая лошадь. Он ходит, а ему хочется нестись, далеко вперед выбрасывая ноги. Пастернак сказал твоей сестре после многих непонятных слов: 
— Вы знаете, мы как на пароходе. 
Этот человек чувствовал среди людей, одетых в пальто, жующих бутерброды у стойки Дома печати, тягу истории. Он чувствует движение, его стихи прекрасны своей тягой, строчки их рвутся и не могут улечься, как стальные прутья, набегают друг на друга, как вагоны внезапно заторможенного поезда. Хорошие стихи. 
В Берлине Пастернак тревожен. Человек он западной культуры, по крайней мере ее понимает, жил и раньше в Германии, с ним сейчас молодая, хорошая жена, — он же очень тревожен. Не из попытки закруглить письмо скажу, мне кажется, что он чувствует среди нас отсутствие тяги. Мы беженцы, — нет, мы не беженцы, мы выбеженцы, а сейчас сидельцы. 
Пока что. 
Никуда не едет русский Берлин. У него нет судьбы. 
Никакой тяги. 
Как отчетливо я это чувствую. Может быть, тебя привлекают чужие люди, англичане, американцы, может быть, тебе скучно с нами, потому что ты тоже чувствуешь это. У тех людей есть механическая тяга, тяга трансатлантического парохода, на палубе которого хорошо танцевать джимми. Мы теряем своих женщин. Нужно уже думать о себе. Мы, мужчины, двигатели внутреннего сгорания, наше дело бурлачить. Для палубы у нас нет бальных башмаков. ","текст письма",16,"Виктор"
"ПИСЬМО СЕМНАДЦАТОЕ","номер письма",17,"Виктор"
"О неизбежности и предсказанности развязки. В ожидании ее корреспондент пишет сперва о Гамбурге, потом о сереньком, в полоску, Дрездене и, наконец, о городе готовых домов — Берлине;  дальше речь идет о кольце, через которое продеты все мысли автора, о ночном пути его под двенадцатью железными мостами и о встрече. И еще о том, что слова бесполезны.","содержание письма",17,"Виктор"
"Совершенно спутался, Аля! Видишь ли, в чем дело: я одновременно с письмами к тебе пишу книгу. И то, что в книге, и то, что в жизни, спуталось совершенно. Помнишь, я писал тебе про Андрея Белого и про метод? В любви есть свои методы, своя логика ходов, без меня и без нас установленная. Я произнес слово любви и пустил дело в ход. Началась игра. Где любовь, где книга, я уже не знаю. Игра развивается. На третьем или четвертом печатном листе я получу свои шах и мат. Начало уже сыграно. Никто не может изменить развязки. 
Трагические концы, минимум — разбитое сердце, предсказаны романом в письмах. 
А пока расскажу только для себя о месте, где происходит действие. 
Берлин трудно описать. 
Если описывать Гамбург, то можно сказать что-то о чайках над каналами, о магазинах, о домах, наклонившихся над каналами, о всем, что принято рисовать. 
Когда въезжаешь в свободный порт города Гамбурга, то раздвигаются шлюзы как занавес. Театральный эффект. Громадное водяное поле, кланяющиеся подъемные краны, черные черпаки, набирающие из пароходов в рот уголь. Челюсти у них откидываются сразу в обе стороны, как у крокодилов. Высокие, вышиной в выстрел из нагана, решетчатые подъемники портального типа. Плавучие элеваторы, которые могут высосать за день до 35 000 пудов зерна. Подплыть к такому сосуну и сказать: «Дорогой товарищ, высоси из меня, пожа­луйста, 35 000 любовных чертей, которые завелись в душе». 
Или попросить самый большой кран, чтобы он поднял меня за шиворот и показал запруженную шлюзами Эльбу, много железа, пароходы, перед которыми автомобили — только блохи. И чтобы сказал мне паровой кран: «Смотри, сентиментальный щенок, на железо, поднятое дыбом. Не хорошо ныть и плакать, а если не можешь жить, то всунь свою голову в железный угольный черпак, чтобы ее откусило». 
Правильно! 
Гамбург описать можно. 
Если описывать Дрезден, то, конечно, работы будет больше. Но есть выход, к которому в новой русской литературе часто прибегают. 
Возьмем какую-нибудь деталь Дрездена, — например, то, что автомобили в нем чистенькие и обиты внутри серой материей в полоску. 
Дальше все так просто, как для подъемного крана поднять одну тонну. 
Нужно уверять, что Дрезден весь серенький в полоску, и Эльба — полоска на сереньком, и дома серенькие, и Сикстинская Мадонна серенькая в полоску. Вряд ли это будет правильно, но зато убедительно и очень хорошего тона. 
Серенького в полоску. 
Но трудно описать Берлин. Его не ухватишь. 
Русские живут, как известно, в Берлине вокруг Zoo. 
Известность этого факта нерадостна. 
Во время войны говорили: «Как известно, немцы весной обыкновенно наступают». Как будто немцы наступают, как весна. 
Русские ходят в Берлине вокруг Старой кирки, как мухи летают вокруг люстры. И как на люстре висит бумажный шарик для мух, так на этой кирке прикреплен над крестом странный колючий орех. 
Улицы, видные с высоты этого ореха, широкие. Дома одинаковые, как чемоданы. По улицам ходят дамы в котиковых пальто и в тяжелых кожаных ботах, а среди них ты в мышином пальто, отделанном котиком. 
По улицам ходят спекулянты в шершавых пальто и русские профессора попарно, заложив руки с зонтиком за спину. Трамваев много, но ездить на них по городу незачем, так как везде город одинаков. Дворцы из магазина готовых дворцов. Памятники — как сервизы. Мы никуда не ездим, живем кучей среди немцев, как озеро среди берегов. 
Зимы нет. Снег то выпадает, то тает. 
В сырости и в поражении ржавеет железная Германия, и ржавчиной срастаемся, ржавея вместе с ней, нежелезные мы. 
На Kleiststrasse, против дома, где живет Иван Пуни, стоит дом, где живет Елена Феррари. 
У нее лицо фарфоровое, а ресницы большие и оттягивают веки. 
Она может ими хлопать, как дверцами несгораемых шкафов. 
Между этими двумя знаменитыми домами вылетает унтергрунд из-под земли и с воем лезет па помост. 
Поезд бежит из вокзала на Wittenbergplatz, взвывая как тяжелый снаряд на подъеме. 
Дальше поезд проскакивает за красной киркой, а кирки так похожи в Берлине друг на друга, что мы их различаем только по улицам, на которых они стоят. 
Проскакивает поезд за красной киркой через пролом дома, как через триумфальную арку. 
Дальше идет форум всех берлинских поездов, Gleisdreieck. Для русских, живущих среди немцев, как среди берегов, Gleisdreieck — пересадка. 
Отсюда поезд бежит на Leipzigerplatz и на другие площади, где нищие продают спички и спокойно лежат покрытые попонками собаки — поводыри слепых. 
Всхлипывают шарманки, они не играют ни «Ach, mein lieber Augustin», ни «Deutshland, Deutshland über alles», они просто стонут. Это механический стон Берлина. 
Если не поехать на площади, а выйти из пустых ворот Gleisdreieck, то не увидишь ни немцев, ни профессоров, ни шиберов. 
Кругом, по крышам длинных желтых зданий, идут пути, пути идут по земле, по высоким железным помостам, пересекают железные помосты, проходя по другим помостам, еще более высоким. 
Тысячи огней, фонарей, стрелок, железные шары на трех ногах, семафоры, кругом семафоры. 
Тоска, эмигрантская любовь и трамвай № 164 завели меня сюда, я долго ходил но мостикам над путями, которые перекрещиваются здесь, как перекрещиваются нити шали, проводимой через кольцо. 
Это кольцо — Берлин. 
Это кольцо для моих мыслей — твое имя. 
Я возвращался часто ночью от тебя и проходил под двенадцатью железными мостами. 
Идешь, поешь. Думаешь, почему к железному сердцу Германии — Gleisdreieck — и к железным воротам Гамбурга жизнь дает только готовые вещи — дома, как чемоданы, трамваи, на которых некуда ехать. Иду, возвращаясь. 
Иду дорогой под двенадцатью железными мостами. 
Идти далеко. На углу Postdamerstrasse каждую ночь вижу все одну и ту же проститутку в красной шляпе. 
Она напевает что-то, увидя меня, потом говорит на непонятном мне языке. 
Иду мимо, мне далеко. 
Что делать, товарищ в красной шляпе! 
На свете много разных зверей, и все они по-своему славят и хулят бога. 
Ты ныряешь на дно морское без слов и выносишь со дна моря один песок, текучий, как грязь. 
А я имею много слов, имею силу, но та, которой я говорю все слова, — иностранка. ","текст письма",17,"Виктор"
"ПИСЬМО ВОСЕМНАДЦАТОЕ","номер письма",18,"Виктор"
"О японце Тарацуки, и его любви к Маше. О горестном сходстве людей всех цветов. О Фузияме. В конце письма — упрек.","содержание письма",18,"Виктор"
"Я очень сентиментален, Аля. Это потому, что я живу всерьез. Может быть, весь мир сентиментален. Тот мир, адрес которого я знаю. Он не танцует фокстрота. 
Был у меня в России в 1913 году ученик, японец. Фамилия его была Тарацуки. 
Служил он секретарей в японском посольстве. 
А в квартире, где он жил, была горничная Маша из города Сольцы. В Машу влюблялись — дворники, жильцы, почтальон, солдаты. 
А ей ничего не было надо. У нее уже была в Сольцах дочка шести лет, которая звала маму дурой. 
В комнате Тарацуки было тепло. Я часто сидел рядом с ним и читал ему Толстого. 
Всегда читал слишком быстро. 
Лицо Тарацуки и мое лицо отражались в зеркале, висящем на стене. 
У меня лицо все время меняется, его лицо было неподвижно, как будто оно было покрыто не кожей, а скорлупой. 
Мне казалось, что из нас двоих — человек, вероятно, только один. 
Его мир был для меня без адреса.  
Тарацуки влюбился в Машу. Она смеялась, взвизгивала, когда рассказывала об этом. 
Он провожал ее, когда она гуляла с белой собачкой. Тарацуки любил ее 1914, 1915, 1916, 1917, 1918 год.  
Пять лет.  
Раз он пришел к Маше и сказал ей: 
— Послушай, Маша. У меня есть бабушка, она живет на большой горе Фузияме, в саду. Она очень знатная и любит меня, и еще бегает в том саду любимая белая обезьяна. 
 (Не удивляйтесь стилю Тарацуки — это ведь я учил его русскому языку.) 
— Недавно белая обезьяна убежала от бабушки. 
Бабушка писала мне об этом. 
А я ответил, что люблю девушку по имени Маша и прошу разрешения на брак. Я хотел, чтобы ты была принята в семье. 
Бабушка ответила, что обезьяна уже вернулась, что, она очень рада и согласна на брак. 
Но Маше было очень смешно, что у Тарацуки есть желтая бабушка на Фузияме. 
Она смеялась и ничего не хотела. 
Потом наступила революция. 
Тарацуки разыскал Машу, которая была без места, и стал снова просить ее: 
— Маша, здесь ничего не понимают. Это не пройдет так, здесь будет много крови. 
Едем ко мне в Японию. 
Революция продолжалась. 
Тарацуки позвал Машу в посольство. Вещи в посольстве упаковывались. Маша пошла. 
Там их принял посол и торопливо сказал: 
— Барышня, вы не понимаете, что делаете, — ваш жених богатый и знатный человек, его бабушка согласна. 
Подумайте, не упускайте счастья. 
Маша не ответила ничего. 
А когда они вышли на улицу, то она ответила своему японцу: «Я никуда не поеду» — и поцеловала его в стриженую голову. 
Тарацуки явился к ней еще раз. Он был очень грустен. Он говорил: 
— Милая Маша. Если ты не едешь, то подари мне маленькую белую собачку, с которой гуляешь. 
Так как был голод и собаку уже нечем было кормить, то Маша ее подарила. 
Последнее письмо Тарацуки было из Владивостока. Вот что было в письме: 
 «Я привез сюда твою собаку и скоро поеду с ней дальше, у вас будет очень тяжело для тебя, я жду ответа, напиши, и я приеду за тобой». 
Но едва успело дойти письмо, как железная дорога порвалась в сотнях мест. 
А Маша все равно не ответила бы. Она осталась. 
Ее по-прежнему любили все. Революции она не боялась, потому что у нее не было знатной желтой бабушки. 
Она работает сейчас на заводе «Военно-санитарных заготовлений», — кажется, так. 
Когда она вспоминает японца, то жалеет его. 
Ее все любят. Она настоящая женщина, она как трава, у нее как будто нет имени, нет самолюбия, она живет не замечая себя. 
Мне тоже жаль японца. 
И я думаю о том, что я напрасно смотрел в зеркало и неправильно замечал, что я и японец — разные. 
Он очень похож на меня, этот японец. 
Не думаю, что это будет способствовать укреплению военного могущества его страны. 
А ты — не Маша. 
На твоем небе вместо звезд — твой адрес. Впрочем, все это не так хорошо, как жалобно. ","текст письма",18,"Виктор"
"ПРЕДИСЛОВИЕ К ПИСЬМУ ДЕВЯТНАДЦАТОМУ","номер письма",19,"Виктор"
"Алиному, об аспирине, селедке с картошкой, телефоне, любовной инерции,  англичанине-танцоре и о кормилице Стеше. В предисловии подробно объяснено,  почему само Алино письмо не нужно читать.","текст письма",19,"Виктор"
"Письмо Алино лучшее во всей книге. Но не читайте его сейчас. Пропустите и прочтите, уже окончив книгу. Я объясню вам сейчас, почему это нужно сделать.  
Я сам не прочел его в свое время. Поцеловал, пробежал отдельные кусочки, но оно было написано карандашом, и я не прочел. 
Сейчас объясню почему. Я — глухарь. То есть я клепал в жизни котлы, придерживая клещами изнутри заклепки. В ушах гром. Вижу, как шевелятся у людей губы, но ничего не слышу. Меня оглушило жизнью — глухие же люди очень замкнуты. 
Прочел Алино письмо только недавно, 10 марта, уже дописав книгу. Читал четыре часа. Письмо прежде всего очень хорошо написано. Честное слово, я его не писал. В нем настоящая правда про любовную инерцию и еще одна ненаписанная правда об инерции несчастья. 
Мне за границей нужно было сломиться, и я нашел себе ломающую любовь. И уже не глядел на женщину и сразу пришел к ней с тем, что она меня не любит. Я не говорю, что иначе она меня бы полюбила. Но все было предопределено. Это письмо нарушает схему о двух культурах потому, что женщина, написавшая так про Стешу, — своя. 
Итак, дорогие друзья, не читайте этого письма, Я нарочно поэтому перечеркиваю его красным. Чтобы вы не ошиблись. 
Как композиционно понять это письмо? Ведь оно все же вставлено? 
Но скажите, на какого черта вам нужна композиция? А если нужна — извольте! Для иронии произведения необходима двойная разгадка действия, обычно она дается понижающим способом, в «Евгении Онегине», например, фразой: «Уж не пародия ли он?» 
Я даю в своей книге вторую повышающую разгадку женщины, к которой писал, и вторую разгадку себя самого. 
Я — глухой. 
Если вы поверите в мое композиционное разъяснение, то вам придется поверить и в то, что я сам написал Алино письмо к себе. 
Я не советую верить… Оно Алино. 
Впрочем, вы вообще ничего не поймете, так как все выброшено в корректуре. ","текст письма",19,"Виктор"
"ПИСЬМО ДЕВЯТНАДЦАТОЕ,","номер письма",19,"Аля"
"Которое не надо читать. Оно написано Алей, когда она заболела, бумага для письма попалась линованная, а письмо самое лучшее во всей книге, но его не надо читать, поэтому оно перечеркнуто.","содержание письма",19,"Аля"
"
О чем можно писать на этой ученической бумаге? 
Только не считай ошибок и не ставь баллов. Сжевала три аспирина, выпила удивительно количество разных горячих вещей, гуляла по квартире босиком в шубе, разговаривала с кем-то по телефону, ела селедку с картошкой, долго ничего не делала, а теперь пишу тебе. 
К этой женщине, когда она тебе позвонила, ты прибежал рысцой. Кокет или гадость, или то и другое вместе! 
Если бы ты был женщиной, то мой так называемый Вертхейм оказался бы мелочной лавочкой рядом с твоим предприятием. Но твоя любовная инерция меня немного пугает. Прямо жутко. Ты кричишь, раздражаешься на собственный голос и еще пуще кричишь. А ну как ты по инерции объяснишься в любви чему-нибудь совершенно неподходящему? Не злись только. 
Сшей себе новый костюм, и чтобы было шесть рубашек — три в стирке, три у тебя, галстук я тебе подарю, чисти сапоги. 
А со мной говори о книгах, я буду стоять на задних лапках совсем вертикально и слушаться. 
Теперь буду спать. Неужели я заболею и завтра не смогу танцевать? 
Такой хороший англичанин и танцор (два равноценных достоинства). Неужели заболею? 
Такой холод. Мне нужны ботики или автомобиль. 
Заложить душу дьяволу? Может быть, и не худо в закладе. 
Вчера целый день думала о моей кормилице Стеше. 
Я вот думаю и уезжаю в обратную сторону на трамвае, — потом плачу. 
Я больше похожа на Стешу, чем на маму. Стеша белая и розовая, полная, хохотунья, совершенно незлобивая и любит мужской пол. Оттого не раз была кормилицей. 
Каждый раз, как в Воспитательный идти, приходила к папе — денег нет. 
Папа ее ругает, что она с того негодяя не взяла. 
— Бог с ним, барин! 
Меня она любит, как дочь родную. Двухмесячную кормила меня щами и как-то отравила, сама наевшись косточек от вишневого варенья, которое варили на даче. Когда я подросла, приходила ко мне с гостинцами, стояла и говорила «вы»; когда народ уходил, садилась со мной чай пить и говорила «ты». Когда я совсем большая выросла, стала я понимать ее веселый нрав. «У моей барыни подруга живет, не пойму я — ровно как монашки!» А сама хохочет и такая вся теплая, Стешей от нее пахнет, как в ее деревянном сундуке, когда она крышку поднимает: ситцем и яблоками. Нос кверху, глазки хитрые. 
Кухарка считала, что ко мне ходит слишком много молодых людей, и думала, что за прикрытой дверью происходят безобразия. «Что ты, — говорит, — Стеша, ты вот, говорят, незаконного ребенка прижила, а разве они себя до этого доводят!» 
Как-то служила она в очень богатом доме. В доме случилась кража. 
Как всегда, Стеша к папе в слезах, что ее в участок волокут. 
Папа ее спрашивает: 
— А ты где была, когда кража случилась? 
— В Ново-Девичьем монастыре, у монашки в гостях. 
— Вот ты и скажи, тебя и отпустят. 
— Что вы, барин, монашку в такое дело путать! 
Так и не сказала ни за что, сидела в тюрьме сколько-то, потом воры нашлись, и ее выпустили. 
Зато, когда после революции мама ее уговаривала идти голосовать, она сказала, что после этой истории с серебряными ложками ее в участок калачом не заманишь. 
На мою свадьбу ей давно-давно было обещано шелковое платье. 
Так она его и не получила…
Даже сон прошел, так я ее люблю, Стешу. 
Целую, милый, только бы не разболеться. 
Аля
За что я на тебя со Стешей обрушилась?","текст письма",19,"Аля"
"
ПИСЬМО КОРОТКОЕ ДВАДЦАТОЕ","номер письма",20,"Виктор"
"Пускай ты другим пишешь синие письма, я люблю тебя, Аля!","текст письма",20,"Виктор"
"ПИСЬМО ДВАДЦАТЬ ПЕРВОЕ","номер письма",21,"Аля"
"Алино пятое. В этом письме пишется об острове Таити, на котором совсем нехорошо.  На острове пароходики пахнут газолином, и это опять нехорошо.  Этот остров слишком далекий, чтобы его любить.  Он остается далеким, даже когда живешь на нем. В письме рассказывается еще о лошади по имени Танюша и ее отплытии на остров Мореа. От Таити до этого острова полтора часа езды.","содержание письма",21,"Аля"
"Милый! 
О Таити я вспоминать люблю, но рассказываю неохотно. Мама всегда говорила, что я неинтеллигентно отношусь к событиям и окружающему миру: я не знаю, сколько на Таити жителей, белых и черных, сколько километров в окружности, какой высоты горы. Меня просто тянет обратно к милому острову, фантастическому морю. Вода синяя, как цветные чернила, коралловый риф опоясывает остров; со знакомым шумом разбиваются о рифы волны, и пена образует гигантский белый невянущий венок; белый цветочек — тиарэ — за ухом темного улыбающегося лица и ваниль без устали пахнут; крабы бочком шныряют по берегу; солнце садится за Мореа. Это я знаю, вижу, ощущаю. 
Впрочем, речь не о том; я хотела рассказать тебе о Танюше. Андрей подарил мне маленькую лошадку. Назло экватору, температуре и кокосовым орехам, я назвала ее Танюшей. Очень была довольна, когда старый черный Тапу звал ее «Танюса». Ходила я за ней сама, чистила, кормила и поила. Она тоже ко мне хорошо относилась. Приходила к террасе за бананами и легонько ржала. Когда Танюша отъелась и стала блестящая и красивая, характер ее круто изменился: не желала, чтобы на нее садились, а как сядешь, начинает вертеться и так и сяк, пятится, все равно, что бы за ней ни было — вода, колючий забор, люди. А потом и совсем убежала в глубь острова — ищи ее! Андрея как раз не было, он часто уезжал осматривать другие острова. А у моей спальни было пять дверей и окно! Все настежь! Ночи на Таити такие беззвучные, насыщенные, такие яркие, что сами черные ни за что ночью от дома не отойдут. Я боялась до одурения, до слез. Наконец догадались перед дверью положить Тапу. Как раз после побега Танюши я всю ночь проплакала. Я часто плакала в те времена. Тапу услыхал и думал, что я боюсь — муж приедет и будет бить меня за то, что лошадь пропала. Наутро говорит: «Ты не плачь, я Танюсу найду, и твой тане (муж) ничего не узнает». Разослал во все стороны веселых черных мальчишек, и Танюшу водворили на место. 
Когда приехал Андрей и узнал про побег, то сейчас же и продал ее. Он относился к лошадям как к людям и нашел, что она выказала такую черную неблагодарность, которую потерпеть нельзя. Танюшу погрузили на пароходик и увезли к англичанину на Мореа. Как ее, верно, качало, бедную! 
Ты пишешь обо мне — для себя, я пишу о себе — для тебя. 
Аля","текст письма",21,"Аля"
"ПИСЬМО ДВАДЦАТЬ ВТОРОЕ,","номер письма",22,"Виктор"
"неожиданное и, по-моему, совершенно лишнее. Содержание этого письма,  очевидно, убежало из другой книги того же автора, но, может быть,  это письмо показалось необходимым составителю книги для разнообразия.  Письмо это разошлось с письмом о Таити.","содержание письма",22,"Виктор"
"Пришлось мне быть недавно в театре «Scala». Это на Lutherstrasse. Номера были разные: акробат кувыркался на шесте, поставленном на плече другого акробата, две гимнастки так быстро вертелись на трапециях, что снизу казалось, что они обратились в зеленые вазы, тени же от них, падающие на занавес, все время оставались человеческими. Такую большую программу не уложить в одну фразу. Был там еще отвратительного вида человек, который сперва делал партерную гимнастику, взяв в зубы двухпудовую гирю, а потом зубами поднимал с полу, схватив за спинку, три или четыре тяжелых, связанных вместе стула. Мне, человеку с зубами очень плохими, это не понравилось. 
Веселей всего смотрелись велосипедисты: они кружились по сцене, поставив дыбом свои велосипеды, на одном заднем колесе и в конце концов уехали за кулисы, сев на какие-то круги, уехали не торопясь, да еще трубили все в трубы. 
Тому Сойеру это бы очень понравилось. 
Балалаечники потом играли. 
Танцевали русские актеры. 
Художник-моменталист рисовал разные карикатуры. 
Нарисовал спекулянта, а потом пририсовал к нему решетку. 
Меня поразила в этом variété полная несвязанность его программы. 
Есть два отношения к искусству. 
Первое характерно тем, что произведение рассматривается как окно в мир. 
Словами, образами хотят выразить то, что лежит за словами и образами. Художники такого типа заслуживают имени переводчиков. 
Другой вид отношения к искусству — это рассматривать его как мир самостоятельно существующих вещей. 
Слова, отношения слов, мысли, ирония мыслей, их несовпадение и являются содержанием искусства. Если искусство можно сравнить с окном, то только с нарисованным. 
Сложные произведения искусства обычно являются результатом комбинаций и взаимодействий прежде существовавших, более простых и, в частности, меньших по размеру произведений. 
Роман состоит из кусков — новелл. 
Пьеса состоит из слов, острот, движений, комбинаций движений и слов, из сценических положений. Для Шекспира удачная острота актера — самоцель, а не средство обрисовать тип. 
Личность героя в первоначальном романе — способ соединения частей. В процессе изменения произведений искусства интерес переносится на соединительные части. 
Психологическая мотивировка, правдоподобность смены положений начинают интересовать больше, чем удачность связанных моментов. Появляются психологический роман и драма и психологическое восприятие старых драм и романов. 
Это объясняется, вероятно, тем, что «моменты» к этому времени изношены. 
Следующая стадия в искусстве — это изнашивание психологической мотивировки. 
Приходится изменять, «остранять» ее. 
Любопытен в этом отношении роман Стендаля «Красное и черное», в котором герой действует насилуя себя, как бы назло самому себе; у него психологическая мотивировка действия противопоставлена действию. 
Герой действует по романтически-авантюрной схеме, а мыслит по-своему. 
У Льва Толстого психология подбирается героями к поступкам. 
Достоевский противопоставляет психологию действующих лиц их моральной и социальной значимости. 
Роман развивается в темпе уголовно-полицейском, а психология дана в масштабе философском. 
Наконец все противопоставления исчерпываются. 
Тогда остается одно — перейти на «моменты», разорвать соединения, ставшие рубцевой тканью. 
Самое живое в современном искусстве — это сборник статей и театр variété, исходящий из интересности отдельных моментов, а не из момента соединения. Нечто подобное замечалось во вставных номерах водевиля. 
Но в театрах такого рода виден уже новый момент, момент соединения частей. 
В одном чешском театре, такого же дивертисментного типа, как «Scala», мне пришлось видеть еще один прием, кажется применяемый уже давно в цирках. Эксцентрик в конце программы показывает все номера, пародируя и разоблачая их. Например, фокусы он демонстрирует, стоя спиной к публике, которая видит, куда пропадает исчезнувшая карта. 
Немецкие театры находятся в этом отношении на очень низкой ступени развития. 
Более интересный случай представляет из себя книга, которую я сейчас пишу. Зовут ее «Zoo», «Письма не о любви» или «Третья Элоиза»; в ней отдельные моменты соединены тем, что все связано с историей любви человека к одной женщине. Эта книга — попытка уйти из рамок обыкновенного романа. 
Пишу я книгу для тебя, и писать мне ее физически больно. ","текст письма",22,"Виктор"
